"Region","income_category","iso3","Country","City.Town","Year","pm10_yr_mean","pm10_temp_cover","note.on.converted.PM10","pm25_yr_mean","pm25_temp_cover","note.on.converted.PM2.5","Number.and.type.of.monitoring.stations","Reference.for.air.quality","Database.version..year.","status"
"Europe","LMIC","ALB","Albania","Korce (Albania)",2015,45,">75%","Measured",30,">75%","Measured","1 Suburban-Background","The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","LMIC","ALB","Albania","Korce (Albania)",2016,40,">75%","Measured",29,">75%","Measured","1 Suburban-Background","The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","LMIC","ALB","Albania","Tirana (Albania)",2013,32,"NA","Measured",16,"NA","Measured","1 station, traffic, urban","European Environment Agency, Air quality e-reporting database",2016,NA
"Europe","LMIC","ALB","Albania","Vlore (Albania)",2014,15,">75%","Measured",10,"NA","Converted","1 Urban-Background","The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","LMIC","ALB","Albania","Vlore (Albania)",2015,19,">75%","Measured",13,"NA","Converted","1 Urban-Background","The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","LMIC","ALB","Albania","Vlore (Albania)",2016,23,">75%","Measured",15,"NA","Converted","1 Urban-Background","The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","LMIC","ALB","Albania","Vrith (Albania)",2015,20,">75%","Measured",13,">75%","Measured","1 Urban-Background","The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","HIC","AND","Andorra","Escaldes-Engordany (Andorra)",2012,28,">75%","Measured",18,"NA","Converted","1 Urban-Background","The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","HIC","AND","Andorra","Escaldes-Engordany (Andorra)",2014,22,">75%","Measured",11,"NA","Measured","1 Urban-Background","Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","HIC","AND","Andorra","Escaldes-Engordany (Andorra)",2015,24,">75%","Measured",11,"NA","Measured","1 Urban-Background","Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","HIC","AND","Andorra","Escaldes-Engordany (Andorra)",2016,23,">75%","Measured",12,"NA","Measured","1 Urban-Background","Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,NA
"Europe","HIC","AND","Andorra","Escaldes-Engordany (Andorra)",2017,19,"NA","Measured",10,"NA","Measured",NA,"Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Abu Dhabi (United Arab Emirates)",2011,158,"NA","Measured",65,"NA","Converted","1 City Centre, 1 Industrial, 1 Road Side, 2 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Abu Dhabi (United Arab Emirates)",2012,165,"NA","Measured",68,"NA","Converted","1 City Centre, 2 Industrial, 1 Road Side, 2 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Abu Dhabi (United Arab Emirates)",2013,144,"NA","Measured",59,"NA","Converted","1 City Centre, 2 Industrial, 1 Road Side, 4 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Abu Dhabi (United Arab Emirates)",2014,109,"NA","Measured",45,"NA","Converted","1 City Centre, 2 Industrial, 1 Road Side, 4 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Abu Dhabi (United Arab Emirates)",2015,150,"NA","Measured",61,"NA","Converted","1 City Centre, 2 Industrial, 1 Road Side, 4 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Ain (United Arab Emirates)",2011,140,"NA","Measured",58,"NA","Converted","1 Road Side, 1 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Ain (United Arab Emirates)",2012,110,"NA","Measured",45,"NA","Converted","1 City Centre, 1 Road Side, 2 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Ain (United Arab Emirates)",2013,127,"NA","Measured",52,"NA","Converted","1 City Centre, 1 Regional Background, 1 Road Side, 3 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Ain (United Arab Emirates)",2014,98,"NA","Measured",40,"NA","Converted","1 City Centre, 1 Regional Background, 1 Road Side, 3 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Ain (United Arab Emirates)",2015,122,"NA","Measured",50,"NA","Converted","1 City Centre, 1 Regional Background, 1 Road Side, 3 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia (United Arab Emirates)",2011,160,"NA","Measured",66,"NA","Converted","1 City Centre, 1 Regional Background, 1 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia (United Arab Emirates)",2012,179,"NA","Measured",74,"NA","Converted","1 City Centre, 1 Regional Background, 1 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia (United Arab Emirates)",2013,126,"NA","Measured",52,"NA","Converted","1 City Centre, 1 Industrial, 1 Regional Background, 1 Regional Background / Industrial, 1 Road Side, 1 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia (United Arab Emirates)",2014,111,"NA","Measured",46,"NA","Converted","1 City Centre, 1 Industrial, 1 Regional Background, 1 Regional Background / Industrial, 1 Road Side, 1 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia (United Arab Emirates)",2015,153,"NA","Measured",63,"NA","Converted","1 City Centre, 1 Industrial, 1 Regional Background, 1 Regional Background / Industrial, 1 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia - Bida Zayed (United Arab Emirates)",2013,146,"NA","Measured",62,"NA","Converted","1 station, urban/residential","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia - Gayathi (United Arab Emirates)",2013,145,"NA","Measured",61,"NA","Converted","1 station, urban","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia - Liwa Oasis (United Arab Emirates)",2013,133,"NA","Measured",56,"NA","Converted","1 station, regional background","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,NA
"Americas","LMIC","ARG","Argentina","Buenos Aires (Argentina)",2016,27,">75%","Measured",12,"NA","Converted","3 N.A.","Agencia de Proteccion Ambiental",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2012,17,">75%","Measured",7,">75%","Measured","4 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2013,17,">75%","Measured",7,">75%","Measured","5 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2014,17,">75%","Measured",7,">75%","Measured","5 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2015,16,">75%","Measured",7,">75%","Measured","5 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2016,16,">75%","Measured",7,">75%","Measured","5 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2010,16,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2011,14,"NA","Measured",6,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2012,15,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2013,15,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2014,16,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2015,16,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2016,18,">75%","Measured",8,"NA","Converted","2 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albury (Australia)",2013,16,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Albury (Australia)",2014,16,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Albury (Australia)",2015,15,">75%","Measured",6,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Albury (Australia)",2016,15,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Ayr (Australia)",2015,24,">75%","Measured",10,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Bathurst (Australia)",2013,15,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Bathurst (Australia)",2014,15,">75%","Measured",6,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Bathurst (Australia)",2015,13,">75%","Measured",6,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Bathurst (Australia)",2016,13,">75%","Measured",6,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Brisbane (Australia)",2015,16,">75%","Measured",6,">75%","Measured","9 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Brisbane (Australia)",2016,15,">75%","Measured",7,">75%","Measured","7 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Bunbury (Australia)",2010,18,"NA","Measured",9,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
